SV Samson,SP Narine,2
SV Samson,SP Narine,0
SV Samson,SP Narine,2
SV Samson,SP Narine,1
AM Rahane,SP Narine,4
SV Samson,Kuldeep Yadav,4
SV Samson,Kuldeep Yadav,1
AM Rahane,Kuldeep Yadav,0
AM Rahane,Kuldeep Yadav,0
AM Rahane,Kuldeep Yadav,1
SV Samson,Kuldeep Yadav,4
AM Rahane,JPR Scantlebury-Searles,1
SV Samson,JPR Scantlebury-Searles,6
SV Samson,JPR Scantlebury-Searles,0
SV Samson,JPR Scantlebury-Searles,4
SV Samson,JPR Scantlebury-Searles,1
AM Rahane,JPR Scantlebury-Searles,1
AM Rahane,Kuldeep Yadav,1
SV Samson,Kuldeep Yadav,1
AM Rahane,Kuldeep Yadav,0
AM Rahane,Kuldeep Yadav,0
AM Rahane,Kuldeep Yadav,1
SV Samson,Kuldeep Yadav,0
AM Rahane,PP Chawla,1
SV Samson,PP Chawla,1
AM Rahane,PP Chawla,1
SV Samson,PP Chawla,2
SV Samson,PP Chawla,0
SV Samson,PP Chawla,1
SV Samson,AD Russell,1
AM Rahane,AD Russell,2
AM Rahane,AD Russell,1
SV Samson,AD Russell,1
AM Rahane,AD Russell,0
AM Rahane,AD Russell,2
SV Samson,SP Narine,0
SV Samson,SP Narine,0
SV Samson,SP Narine,0
SV Samson,SP Narine,0
SV Samson,SP Narine,6
SV Samson,SP Narine,0
AM Rahane,Kuldeep Yadav,0
H Klaasen,Kuldeep Yadav,0
H Klaasen,Kuldeep Yadav,0
H Klaasen,Kuldeep Yadav,0
H Klaasen,Kuldeep Yadav,1
SV Samson,Kuldeep Yadav,1
SV Samson,SP Narine,1
H Klaasen,SP Narine,1
SV Samson,SP Narine,0
SV Samson,SP Narine,1
H Klaasen,SP Narine,4
H Klaasen,SP Narine,1
H Klaasen,PP Chawla,1
SV Samson,PP Chawla,4
SV Samson,PP Chawla,1
H Klaasen,PP Chawla,1
SV Samson,PP Chawla,out
H Klaasen,PP Chawla,1
H Klaasen,M Prasidh Krishna,0
H Klaasen,M Prasidh Krishna,2
H Klaasen,M Prasidh Krishna,1
STR Binny,M Prasidh Krishna,0
STR Binny,M Prasidh Krishna,0
STR Binny,M Prasidh Krishna,out
H Klaasen,AD Russell,1
K Gowtham,AD Russell,1
H Klaasen,AD Russell,1
K Gowtham,AD Russell,1
H Klaasen,AD Russell,2
H Klaasen,AD Russell,0
K Gowtham,M Prasidh Krishna,0
K Gowtham,M Prasidh Krishna,2
K Gowtham,M Prasidh Krishna,0
K Gowtham,M Prasidh Krishna,1
H Klaasen,M Prasidh Krishna,1
K Gowtham,M Prasidh Krishna,4
